ingredient,labels
"barley flour","Gluten"
"barley malt","Gluten"
"barley malt extract","Gluten"
"barley malt syrup","Gluten"
"beer","Gluten"
"breadcrumbs","Gluten"
"cereal extract","Gluten"
"club wheat","Gluten"
"couscous","Gluten"
"durum","Gluten"
"emmer","Gluten"
"farina","Gluten"
"farro","Gluten"
"flour","Gluten"
"freekeh","Gluten"
"gluten flour","Gluten"
"graham flour","Gluten"
"hydrolyzed wheat protein","Gluten"
"kamut®","Gluten"
"matzoh","Gluten"
"matzoh meal","Gluten"
"oatmeal","Gluten"
"pasta","Gluten"
"panko","Gluten"
"rye","Gluten"
"seitan","Gluten"
"semolina","Gluten"
"semolina flour","Gluten"
"spelt","Gluten"
"sprouted wheat","Gluten"
"triticale","Gluten"
"vital wheat gluten","Gluten"
"wheat starch","Gluten"
"wheat flour","Gluten"
"wheat germ","Gluten"
"wheat gluten","Gluten"
"wheat protein isolate","Gluten"
"whole wheat","Gluten"
"whey protein concentrate","Milk"
"whey protein isolate","Milk"
"acid whey","Milk"
"ammonium caseinate","Milk"
"buttermilk powder","Milk"
"buttermilk solids","Milk"
"calcium caseinate","Milk"
"calcium lactate","Milk"
"calcium stearoyl lactylate","Milk"
"casein","Milk"
"casein hydrolysate","Milk"
"caseinate","Milk"
"curd","Milk"
"delactosed whey","Milk"
"demineralized whey","Milk"
"fermented milk solids","Milk"
"ghee","Milk"
"goat milk solids","Milk"
"high protein flour","Gluten"
"hydrolyzed whey","Milk"
"lactalbumin","Milk"
"lactalbumin phosphate","Milk"
"lactoferrin","Milk"
"lactoglobulin","Milk"
"milk protein hydrolysate","Milk"
"milk solids","Milk"
"natural butter flavor","Milk"
"nougat","Milk"
"rennet casein","Milk"
"ricotta cheese","Milk"
"skim milk powder","Milk"
"sour cream solids","Milk"
"sweet whey","Milk"
"whey powder","Milk"
"whey protein","Milk"
"whey solids","Milk"
"yogurt powder","Milk"
"caseinogen","Milk"
"sodium caseinate","Milk"
"sweetened condensed milk solids","Milk"
"buttermilk","Milk"
"butter","Milk"
"acidophilus milk","Milk"
"lactose syrup","Milk"
"simplesse","Milk"
"recaldent","Milk"
"albumin","Egg"
"albumen","Egg"
"apovitellin","Egg"
"avidin","Egg"
"egg white powder","Egg"
"egg yolk lecithin","Egg"
"lysozyme","Egg"
"mayonnaise","Egg"
"meringue","Egg"
"ovalbumin","Egg"
"ovomucin","Egg"
"ovomucoid","Egg"
"ovovitellin","Egg"
"pasteurized dried egg","Egg"
"surimi","Fish"
"vitellin","Egg"
"anchovy","Fish"
"anchovy extract","Fish"
"anchovy paste","Fish"
"bouillabaisse","Fish"
"caesar dressing","Fish"
"cod liver oil","Fish"
"finnan haddie","Fish"
"fish broth","Fish"
"fish oil","Fish"
"fish protein isolate","Fish"
"fish sauce","Fish"
"fish stock","Fish"
"fumet","Fish"
"haddock","Fish"
"imitation crab","Fish"
"krill","Crustaceans"
"mackerel","Fish"
"oyster sauce","Molluscs"
"piscidin","Fish"
"pollock extract","Fish"
"rohu","Fish"
"salmon","Fish"
"scrod","Fish"
"shark","Fish"
"shad","Fish"
"sturgeon","Fish"
"tilapia","Fish"
"trout","Fish"
"cod","Fish"
"flounder","Fish"
"hake","Fish"
"herring","Fish"
"haddock","Fish"
"grouper","Fish"
