id,recipe_title,ingredients,true_allergens
15883,Vegetable and Herb Cauliflower Tabbouleh,"1/2 head of cauliflower, chopped into florets
3/4c finely diced tomatoes
3/4c finely diced cucumbers
2 green onions, very finely minced (use whites and greens)
1-2 tablespoons olive oil
Juice of 1/4 to 1/2 of a lemon
1 teaspoon fresh tarragon, minced
1 teaspoon fresh thyme, minced
1 teaspoon cumin
1 teaspoon coriander
salt and pepper, to taste",
15259,Gluten Free Cracker Crust Chicken Fingers,"2 boneless, skinless chicken breasts sliced into 1"" strips
1 egg
1/2 cup gluten free crackers
1/4 cup gluten free Seneca Crisp Onions
salt and pepper
1 tsp coconut or olive oil",Egg
15671,Ricotta Lemon Cake,"2 pounds whole milk ricotta
¾ cup granulated sugar
6 ounces candied pineapple rings
grated zest of 2 lemons
1 tablespoon lemon juice
1 cup golden raisins, soaked in dark rum for 20 minutes, drained, patted dry, and diced
1 tablespoon dark rum from the soaked raisins
6 large egg yolks, lightly beaten
¾ cup unbleached all-purpose flour
4 large egg whites beaten with ¼ cup granulated sugar until still peaks form
confectioner's sugar for garnish",Milk;Egg;Gluten
14414,Stuffed Jumbo Shells Pasta,"Ravioli stuffing
½ cup Whole milk ricotta (more if you wish)
½ to ¾ cup Mozzarella cheese, shredded
1 box of Barilla jumbo shell pasta
Béchamel sauce
Tomatoes sauce
Mozzarella cheese, shredded
Butter",Milk;Gluten
14483,Egg Sandwich with Spiced Sautéed Onions,"Eggs – the way you like them
1 red onion – sliced
2-3 tablespoons ketchup
1 tablespoon butter
1 tablespoon Worcestershire Sauce
½ tsp. ground cumin
¼ tsp. turmeric
¼ tsp. paprika
¼ tsp. salt
¼ tsp. black pepper
Your favorite bread for the sandwich",Egg;Milk;Fish;Gluten
16508,Amaranth with vegetables from wok,"1 1/3 cups Amaranth
2 ½ cups water
2 tbsp peanut oil (divided), for wok
2 zucchini, sliced ​​into rounds
2 spring onions, sliced
1 red pepper, sliced
1 stalk celery, sliced
1 clove garlic, chopped
2 cups button mushrooms, sliced
1 tbs soy sauce (divided)
2 tbs spice mix for Chinese dishes (divided)",Peanuts;Soy;Celery
16506,Herb Roasted Chicken,"Ingredients for Herb Roasted Chicken:
4 cups water
1/3 cup kosher salt
1/3 cup brown sugar
1 tablespoon dried thyme
1 tablespoon dried rosemary
1 tablespoon dried basil
1 tablespoon fennel seeds
1 tablespoon coarse black pepper
2 bay leaves
6 cups ice water
1 chicken, about 3 lbs, neck and giblets removed
3 tablespoons butter",Milk
16382,Fresh Orange Snowskin Mooncake with Sweet Corn Paste,"120g Kao Fen ( 糕粉 )
50g Hong Kong Flour ( 香港面粉 )
65g Icing Sugar ( 糖粉 )
30g Shortening Premium （白油 ）
1 Orange
155g Orange Juice
2 tbsp Sugar Syrup if orange is not sweet
500g Sweetcorn Paste ( Makes about 16 x 30g Paste )
60g Sunflower Seeds
½ tsp Orange Essence ( optional )
Water for blending juices if needed",Gluten
15847,Chicken Penne Pasta Bake,"1 tbsp olive oil
1 onion, chopped finely
1 clove garlic, chopped finely
1 stick celery, de-strung and chopped finely
1 green pepper, cored and diced
10g salted butter
half a tsp ground black pepper
3 boneless, skinless chicken breasts, sliced
1 tsp dried tarragon
295g can of Batchelor's condensed cream of chicken soup
250ml skimmed milk (I used goat milk)
1 tbsp Philadelphia cream cheese
1.5 tsp Knorr reduced salt chicken granules (stock powder)
2 tbsp frozen petits pois
300g penne pasta
125g mozzarella ball, sliced
150g mature cheddar cheese",Gluten;Milk;Celery
15293,"Pomegranate, Acorn Squash Arugula Salad","6 tablespoons pomegranate juice
1 ½ tablespoon balsamic vinegar
1 ½ tablespoon red wine vinegar
8 tablespoons olive oil
salt and pepper
2 tablespoons unsalted butter
2 unpeeled acorn squash, halved, seeded and cut into wedges
1 pound arugula salad
1 ½ cup pomegranate seeds
¼ cup pine nuts roasted",Milk;Tree Nuts;Sulphites
16930,Rack of Lamb With Parsley,"1 rack of lamb, about 1 ¼ pounds
1 tablespoon peanut oil
Salt
Pepper, fresh ground
1 tablespoon Dijon mustard
1 slice white bread, process to crumbs in the food processor
2 tablespoons chopped parsley
1 small garlic clove, peeled, green germ removed, and chopped fine
1 shallot minced
1/8 teaspoon thyme, or herbes de Province
2 teaspoons unsalted butter melted",Peanuts;Mustard;Gluten;Milk
15641,Baked Steak Fries with Melted Cheese and Cilantro Dipping Sauce,"5 lb. bag of potatoes – peeled and sliced in wedges
8 oz. of Monterey Jack or Cheddar cheese - grated
Pat dry the potatoes and place in a bowl.
Rub for Fries:
½ tsp. ground cumin
½ tsp. black pepper
½ tsp. brown sugar
½ tsp. garlic powder
½ tsp. ground curry powder
¼ tsp. chili powder
¼ tsp. salt
Olive oil to make a paste
~ Cilantro Dipping Sauce ~
Ingredients:
1 bunch of fresh cilantro
5 cloves of garlic
2 vine ripe tomatoes
2 tablespoons of balsamic vinegar
1 tsp. of sugar
¼ tsp. salt
¼ tsp. black pepper",Milk
14906,Easy and Delicious “Kicked-Up” Brownies!!!,"1 box of brownie mix
½ cup sugar
1 tbs. cocoa powder
2 eggs
4 tbs. butter - softened
½ cup flour
1 tbs. butter
¼ cup cool black coffee
1 tsp. vanilla
Topping:
1 tbs. brown sugar
6 sheets of graham crackers
3 tbs. butter
Handful of salted pretzels",Gluten;Egg;Milk
15336,Siew Mai,"40 to 50 large wonton wrappers
For the pork and shrimp filling -
700g minced fatty pork (I used pork neck steaks)
2 tablespoons corn starch
1 teaspoon salt
1 teaspoon ground white pepper
1/2 teaspoon sugar
2 tablespoons Shaoxing Huatiao wine
1 teaspoon Maggi Seasoning Sauce or Worcestershire sauce
2 tablespoons sesame oil
80g peeled water chestnuts (canned)
4 large Chinese mushrooms (soaked for 2 hours)
400g whole shrimp (cooked, peeled and de-veined)
1 small carrot or 3 tablespoons of salmon roe or 3 tablespoons of salted egg yolk
For the glutinous rice filling -
2 sticks of lap cheong (Chinese sausage)
200g raw glutinous rice
40g shallots (sliced)
1 small piece of ginger (minced)
4 tablespoons cooking oil
30g dried shrimps (soaked overnight in boiling water, chopped)
20g dried scallops (steamed for 20 mins, remove intestine if any, sliced)
5 pieces Chinese mushrooms (soaked and sliced)
3 tablespoons water (use the water used to soak the scallops)
1 tablespoon light soy sauce
1/2 teaspoon salt
1/2 teaspoon sugar
1 tablespoon oyster sauce
2 tablespoons Shaoxing Huatiao wine
ground white pepper to taste",Gluten;Crustaceans;Sesame;Fish;Molluscs;Sulphites;Soy;Egg
16785,Chinese Stir-fry Kale with Oyster Sauce and Dried Shrimps,"300g Kale / Kailan
2 tbsp Dried Shrimps
6 cloves of Garlic
1 tbsp minced Ginger
1 tbsp Sesame Oil
1 tbsp Oyster Sauce
1 tbsp Cornstarch
1 tsp Fish sauce
2 tsp Chinese Cooking Wine
3 tbsp Cooking Oil",Crustaceans;Sesame;Molluscs;Fish;Sulphites
14742,Almond Cookie Bar,"Cookie Base
60g Brown sugar
120g Butter, at room temperature
80g Wholemeal flour
80g Plain flour, sifted
For Topping
Apricot Gel/Jam, as needed
60g Butter, melted
80g Almond flakes
20g Oatmeal Crushed cornflakes
25g Brown sugar
2 tbsp Fresh milk",Gluten;Milk;Tree Nuts
16274,Thai Peanut Noodles,"8 ounces thin spaghetti
1/2 cup unsalted peanuts, plus more for garnish
3 tablespoons soy sauce
2 tablespoons lemon juice
1 tablespoon honey
3 tablespoons water
1 tablespoon vegetable oil
2 cloves garlic, chopped
1/2 cup thinly sliced onion
1 cup snow peas, cut into 1"" lengths
3 cups fresh bean sprouts
1/4 cup thinly sliced green onions (green part only)",Gluten;Peanuts;Soy
15273,"Our take on Kentucky, Bourbon and Mint Juleps","4 fresh mint sprigs
2 1/2 oz Maker's Mark Handcrafted Bourbon
1 tsp Maple Sugar or Orange Vanilla Sugar
2 tsp water",
13992,Grilled Radicchio Wedges with Charred Scallion and Caper Dressing,"1-1 1/2 heads radicchio, quartered
2 green onions, ends trimmed
3 tbsp apple cider or white wine vinegar
1 tsp gluten-free Dijon mustard (omit for an allergy to)
1/4 cup (60 mL) olive oil
1/2 tbsp capers, finely chopped
1/4 tsp salt
Pinch black pepper
1 Bosc pear, cored, peeled and diced",Mustard;Sulphites
16542,Macaroni and Cheese Bake!!!,"8 oz. Munster cheese – grated
16 oz. cottage cheese
4 oz. milk
Zest of 1 lemon
Handful of fresh chives
Handful of fresh cilantro
½ red onion – sliced
3 cloves garlic – chopped
Dash of ground nutmeg
Dash of black pepper
1 cup Italian style bread crumbs
1 tablespoon lemon juice
1 lb. of your favorite macaroni
Drizzle of Olive oil
Butter",Gluten;Milk
13903,Banana Smoothie Recipe,"Prepare the banana:Peel the banana and cut it into chunks for easier blending.
Blend the smoothie:Add the banana, milk, yogurt, honey (if using), and vanilla extract into the blender. If you like a thicker texture, add ice cubes.
Blend until smooth:Blend on high speed for 30-60 seconds until smooth and creamy. If the smoothie is too thick, add a little more milk to reach your preferred consistency.
Serve:Pour the smoothie into a glass and enjoy immediately.",Milk  
15485,Stuffed Cucumber Kimchi,"3 long, skinny cucumbers
2 ounces green onions, chopped
2 tablespoons minced shallots
1 tablespoon minced garlic
1 teaspoon minced ginger
2 tablespoons ground red pepper
1 tablespoon tiny salted shrimp (optional)
1 1/4 teaspoons salt
3 tablespoons water
Kosher salt or coarse sea salt",Crustaceans
14370,Vegetarian Christmas wreath,"broccoli florets
cherry tomatoes
2 slices of cheese
1 red pepper
250 g of cream cheese
¼ cup of mayonnaise
½ Tsp of dried dill
¼ Tsp of dried garlic
¼ cup of olives pitted and chopped
¼ cup of minced scallion",Milk;Egg
